,Unnamed: 0,longitude,latitude,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value,housing_median_age,total_rooms,total_bedrooms,population,households,median_income
0,2072,-119.84,36.77,0.0,1.0,0.0,0.0,0.0,72000.0,-1.7959387485269518,-0.35736844073120805,-0.14200757965625313,-0.03282679000418818,-0.21817285799246428,-1.2584030225080027
1,10600,-117.8,33.68,1.0,0.0,0.0,0.0,0.0,274100.0,-1.6371783323563358,-0.2765148920372312,-0.4327233689746563,-0.49478361097620954,-0.41784146248726184,1.6106227568033264
2,2494,-120.19,36.6,0.0,1.0,0.0,0.0,0.0,58300.0,-0.28771479490609947,-0.7991269358301432,-0.7492284621842081,-0.43520413313121986,-0.7445719062060214,-1.2204247189634698
3,4284,-118.32,34.1,1.0,0.0,0.0,0.0,0.0,200000.0,0.18856645360574864,-0.913405973928334,-0.714061229605369,-0.7236033447287061,-0.7108616223302764,-1.2337356125562686
4,16541,-121.23,37.79,0.0,1.0,0.0,0.0,0.0,117900.0,-0.6052356272473315,-0.3262014303407924,-0.37645579684851377,-0.263373465143496,-0.3348623021777356,0.11483749981573144
5,8781,-118.32,33.79,1.0,0.0,0.0,0.0,0.0,315100.0,0.26794666169105663,-0.11887305687411426,-0.15607447268778876,-0.1476683922271393,-0.03406284605570291,0.1498050059999885
6,5438,-118.43,34.01,1.0,0.0,0.0,0.0,0.0,500001.0,0.18856645360574864,-0.053377165473965385,-0.013061060200509778,-0.3359050033895704,0.007426734099060222,0.44201081296571243
7,14856,-117.07,32.64,0.0,0.0,0.0,0.0,1.0,172800.0,0.26794666169105663,1.1250971839259547,1.1521465792450256,0.6190935835170756,1.1483901883550462,0.14177621303925272
8,19956,-119.33,36.22,0.0,1.0,0.0,0.0,0.0,108100.0,-1.5577981242710277,0.4985951054983237,0.2588988717425125,0.44898985691616305,0.3082261902210929,0.17801142337520479
9,17175,-122.47,37.5,0.0,0.0,0.0,0.0,1.0,334600.0,-0.8433762515032556,-0.15681550430592464,-0.27564306345584166,-0.3013661756533445,-0.3115244133406813,0.533972184969929
10,5305,-118.46,34.07,1.0,0.0,0.0,0.0,0.0,500001.0,1.0617487425441368,-0.03621272496909878,-0.172485847891247,-0.4507466056125215,-0.22595215427148238,2.8303654347593104
11,1686,-122.26,37.98,0.0,0.0,0.0,1.0,0.0,198000.0,-0.049574170650175414,-0.2738047172206733,-0.47961301241310844,-0.4213886020367295,-0.3945035736502076,0.6622215883164182
12,6100,-117.89,34.12,1.0,0.0,0.0,0.0,0.0,168800.0,0.5060872859469807,-0.530367933188153,-0.6859274435422977,-0.47492378502787963,-0.6615927458964952,0.5598016570607168
13,11206,-117.92,33.83,1.0,0.0,0.0,0.0,0.0,179300.0,0.5854674940322887,-0.7101428626864926,-0.7984625877945829,-0.6873375756056689,-0.79124768388013,0.6145242196088894
14,3400,-118.35,34.28,1.0,0.0,0.0,0.0,0.0,248200.0,0.10918624552044062,0.257389546824672,-0.04822829277934887,0.22880483009772298,0.0826265981295684,0.4385774475548715
15,4646,-118.31,34.06,1.0,0.0,0.0,0.0,0.0,410000.0,0.42670707786167267,-0.3596269197450063,0.3128219616967325,-0.07254644190084795,0.22784012867123934,-0.9557386562907939
16,15828,-122.43,37.75,0.0,0.0,0.0,1.0,0.0,396800.0,1.855550823397217,0.025217904206213258,0.14401924531830484,-0.219336459779808,0.1915367460358216,-0.15270089719825858
17,12263,-116.89,33.79,0.0,1.0,0.0,0.0,0.0,56700.0,-1.3196575000151036,-0.8777220055103219,-0.9461649646257071,-0.8643490677538266,-1.0142541772119817,-0.954154026101175
18,17343,-120.41,34.86,1.0,0.0,0.0,0.0,0.0,158000.0,-1.0815168757591795,-0.7526022681458995,-0.8125294808261185,-0.8876627764757791,-0.8275510665155478,0.2698671533667799
19,20157,-119.15,34.44,1.0,0.0,0.0,0.0,0.0,297900.0,0.3473268697763647,-0.28871067871174166,-0.33191063558198425,-0.33849541546978734,-0.3893173761308622,0.7626871423382561
20,5963,-117.85,34.11,0.0,1.0,0.0,0.0,0.0,223000.0,-0.28771479490609947,2.986083891295702,2.638548276243958,3.029903759505643,2.919476641211497,0.3732906837425732
